WorkClass;Occupation;Education;Sexe;Race;Age;Relationship;Marital_satus;Native_Country;Hours_per_week;Salary
 Private; Craft-repair; HS-grad; Male; White;36; Husband; Married-civ-spouse; United-States;55; >50K
 Private; Prof-specialty; Doctorate; Male; White;47; Husband; Married-civ-spouse; United-States;60; >50K
 Private; Handlers-cleaners; HS-grad; Female; White;48; Wife; Married-civ-spouse; United-States;16; >50K
 Private; Adm-clerical; HS-grad; Female; White;46; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; Bachelors; Male; White;44; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Protective-serv; 11th; Female; White;17; Own-child; Never-married; United-States;30; <=50K
 Private; Transport-moving; 7th-8th; Male; White;51; Husband; Married-civ-spouse; Cuba;40; <=50K
 Local-gov; Protective-serv; Assoc-acdm; Male; White;44; Not-in-family; Never-married; United-States;40; <=50K
 Federal-gov; Adm-clerical; Some-college; Female; White;42; Other-relative; Divorced; Puerto-Rico;40; <=50K
 Private; Other-service; HS-grad; Female; White;21; Other-relative; Never-married; United-States;30; <=50K
 Private; Adm-clerical; HS-grad; Male; White;26; Not-in-family; Never-married; United-States;60; <=50K
 Private; Exec-managerial; HS-grad; Male; White;53; Husband; Married-civ-spouse; United-States;45; <=50K
 Local-gov; Prof-specialty; Bachelors; Female; White;47; Wife; Married-civ-spouse; United-States;50; >50K
 Private; Exec-managerial; Some-college; Male; White;36; Not-in-family; Never-married; United-States;40; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;29; Husband; Married-civ-spouse; Ireland;48; <=50K
 Self-emp-not-inc; Farming-fishing; HS-grad; Male; White;35; Not-in-family; Divorced; Puerto-Rico;80; <=50K
 Private; Sales; HS-grad; Male; White;34; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Tech-support; Some-college; Male; Black;52; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Prof-specialty; Masters; Female; White;42; Wife; Married-civ-spouse; United-States;45; >50K
 Local-gov; Exec-managerial; Bachelors; Male; White;43; Unmarried; Divorced; Germany;42; <=50K
 Private; Machine-op-inspct; Bachelors; Male; White;46; Husband; Married-civ-spouse; Germany;40; >50K
 Private; Other-service; HS-grad; Female; Black;54; Unmarried; Separated; United-States;20; <=50K
 State-gov; Prof-specialty; Bachelors; Male; White;34; Husband; Married-civ-spouse; United-States;38; >50K
 Self-emp-inc; Craft-repair; Masters; Male; White;40; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Exec-managerial; Bachelors; Female; Black;33; Not-in-family; Separated; United-States;45; <=50K
 Self-emp-not-inc; Prof-specialty; Bachelors; Female; White;81; Not-in-family; Widowed; Hungary;3; <=50K
